Age,Gender,Annual_Income,Employment_Years,Existing_Debt,Credit_History_Years,Num_Credit_Accounts,Late_Payments,Loan_Amount,Credit_Score
40.0,Male,73957,8.6,40811,10.4,10,2,72011,537
35.0,Male,182961,10.4,45800,9.0,8,2,100048,643
21.0,Male,24579,9.0,7789,1.0,7,3,23719,498
48.0,Male,129597,9.5,40207,28.6,4,1,103836,627
56.0,Female,62117,12.1,23939,26.8,5,3,48641,597
26.0,Male,35607,2.7,11133,6.5,5,0,36012,529
32.0,Male,65587,7.8,22962,8.0,9,0,42151,606
57.0,Female,111908,1.1,60664,32.7,3,1,80285,590
41.0,Female,34016,8.5,13042,12.2,7,0,12758,619
46.0,Male,132723,2.9,19613,26.2,4,0,26680,638
45.0,Female,100038,6.9,54196,25.0,6,2,24083,574
40.0,Male,85150,9.6,8268,14.0,7,2,26409,576
27.0,Male,46438,4.2,28530,1.0,7,0,9100,544
41.0,Male,79417,6.0,12194,21.3,5,0,85832,620
40.0,Female,41190,6.1,21173,15.9,2,0,22903,598
48.0,Male,29421,10.4,10932,21.8,3,1,19714,580
40.0,Male,56239,7.3,26763,19.9,3,4,35182,588
33.0,Male,85476,16.1,55260,9.1,7,1,87790,607
21.0,Female,46131,14.1,20475,1.0,6,1,37000,588
31.0,Female,27012,8.3,17027,9.7,3,1,10230,601
35.0,Female,109807,11.8,68313,11.1,3,2,44851,591
46.0,Female,101881,22.1,30494,16.6,5,2,30764,625
39.0,Male,41552,10.2,16135,13.0,7,3,50439,560
36.0,Male,81505,4.3,27713,13.7,7,1,71517,609
24.0,Female,57491,5.9,34977,1.0,2,2,14851,493
44.0,Male,43994,7.6,11768,19.5,2,3,7901,614
21.0,Female,60254,7.5,7846,1.0,3,1,56630,558
46.0,Female,118561,28.3,20810,22.0,3,4,135407,626
52.0,Male,43083,6.6,7321,30.1,4,2,35819,606
39.0,Female,64959,3.9,18316,12.3,10,1,75171,554
33.0,Male,68660,7.5,5976,9.2,5,1,60927,598
36.0,Female,58409,12.6,26484,4.4,2,0,56358,546
47.0,Female,38164,3.6,3404,16.3,5,2,22923,573
35.0,Female,106444,5.6,45537,13.6,5,2,23847,569
50.0,Male,70662,3.6,21488,18.6,5,0,30307,568
52.0,Female,57606,2.1,14917,30.7,6,3,48084,602
31.0,Male,49088,1.5,20788,12.3,2,2,30701,517
35.0,Male,50289,10.4,22360,3.5,5,0,58655,559
38.0,Female,68949,5.5,22632,9.1,5,0,65864,579
38.0,Female,64636,2.7,21211,16.2,3,0,57956,522
59.0,Male,74145,9.5,42514,29.5,5,4,57066,572
33.0,Male,80346,6.9,11622,3.1,7,0,34177,572
57.0,Female,49894,2.7,7437,38.8,4,2,27201,663
53.0,Female,117461,12.9,46349,34.7,8,1,77920,676
24.0,Male,55174,9.2,32435,4.4,2,1,67940,524
39.0,Female,83292,1.9,47052,20.3,4,0,43797,581
49.0,Male,86467,4.2,24175,27.2,7,2,84234,604
32.0,Male,150512,7.6,91839,5.0,4,2,137678,486
34.0,Female,145110,3.6,50799,15.4,5,1,112182,533
29.0,Female,106883,6.6,53446,5.7,5,1,114994,575
33.0,Female,58680,6.9,28514,8.6,7,0,49285,621
45.0,Male,39595,4.9,24269,17.2,8,0,7961,622
53.0,Male,58267,2.2,29762,30.3,3,0,25316,584
39.0,Female,46318,8.1,29521,7.6,7,3,30033,552
39.0,Female,67075,18.4,36691,12.0,5,2,42768,622
52.0,Male,93977,11.2,52450,30.3,2,3,60063,600
36.0,Female,44288,5.1,10832,6.7,6,0,42872,543
21.0,Female,68913,5.3,9823,1.0,4,0,40556,555
40.0,Male,214989,6.3,120000,11.0,5,1,180000,514
36.0,Male,78685,4.3,45310,6.6,3,0,16254,556
32.0,Male,48616,4.0,18983,7.7,3,1,57215,525
49.0,Female,113959,11.5,44112,18.9,8,0,96785,623
55.0,Male,75071,6.6,45337,27.4,6,0,29693,618
26.0,Female,54849,9.0,23259,7.9,3,1,55953,534
43.0,Male,52878,7.1,6939,16.0,4,1,17578,566
38.0,Female,84093,7.3,35572,6.2,5,1,36829,534
44.0,Male,115947,5.7,34395,16.9,4,1,139978,552
41.0,Female,300000,7.6,113375,21.5,6,0,170065,666
37.0,Male,106140,4.9,27684,16.7,5,0,24719,626
39.0,Female,74177,1.7,46073,17.7,1,0,79158,550
43.0,Male,50265,1.7,23006,14.6,3,0,62100,565
68.0,Female,19260,11.8,6006,40.0,5,2,7858,643
38.0,Female,60812,3.2,15627,9.7,7,0,37587,573
58.0,Male,53634,8.4,22068,38.7,7,0,9034,686
24.0,Male,35822,3.1,14097,1.0,3,2,35899,502
39.0,Male,35775,15.8,22458,11.3,5,1,12140,594
39.0,Female,59042,1.3,37064,10.8,7,2,54398,539
21.0,Male,64727,2.5,12050,1.0,3,2,73020,515
25.0,Male,46124,3.2,29416,1.0,9,0,55562,541
47.0,Female,59240,7.6,34586,24.8,8,0,9586,610
43.0,Female,22614,1.7,8220,21.3,5,3,23124,510
47.0,Male,46025,8.9,16593,21.4,7,0,21325,636
47.0,Male,32902,4.4,18925,27.8,8,3,21445,587
37.0,Male,49253,20.0,27344,12.2,2,0,49446,600
27.0,Female,74325,9.6,42419,5.5,4,1,36573,545
41.0,Female,54065,6.5,34792,17.6,3,2,48718,537
55.0,Female,69362,1.9,25197,36.3,8,0,71595,607
24.0,Male,95266,19.6,11104,1.0,5,2,46489,636
39.0,Female,47388,0.4,18109,12.2,4,2,29601,518
24.0,Male,30859,13.3,19155,1.0,7,3,35672,547
36.0,Female,35270,3.3,7197,12.1,3,1,11512,566
38.0,Male,53174,1.0,29470,19.0,6,1,24650,540
37.0,Male,63747,5.2,21840,8.1,3,2,9820,571
26.0,Male,79085,6.0,26818,1.0,8,2,73754,497
37.0,Male,94402,2.9,19395,14.6,3,0,31661,572
46.0,Female,126888,6.1,58789,17.0,3,1,143017,533
44.0,Female,38489,7.9,17702,16.2,3,2,24944,525
48.0,Male,127027,5.2,36837,26.9,5,1,109543,595
36.0,Female,35197,3.9,17717,14.4,6,1,35063,569
37.0,Male,132679,11.0,57148,9.8,4,1,82109,582
49.0,Female,78070,14.3,35470,30.9,7,3,65993,631
44.0,Female,62574,7.5,18930,24.1,4,2,31775,615
61.0,Male,59411,3.5,23625,29.8,6,0,16125,641
39.0,Female,57479,9.4,32487,18.1,5,0,43164,577
60.0,Male,43987,7.7,9465,34.4,4,2,10983,626
39.0,Female,57698,8.3,30038,7.1,7,1,46501,574
39.0,Female,43562,6.6,25714,16.7,2,3,50183,519
24.0,Male,112935,1.2,69748,1.0,4,1,57118,511
43.0,Male,46094,12.9,28297,11.3,7,1,17121,598
52.0,Male,73168,10.9,15476,25.4,7,1,35730,614
33.0,Male,125322,3.0,46147,8.4,4,2,116731,515
24.0,Male,61688,6.8,16975,1.0,8,1,61690,543
49.0,Male,76796,8.0,43742,19.2,7,2,12283,598
57.0,Female,54698,17.9,29009,34.5,7,3,65188,653
49.0,Male,63224,11.9,39512,17.4,5,1,65126,547
38.0,Male,100480,10.2,27224,15.2,8,1,75352,610
41.0,Male,79746,4.3,42371,19.6,7,0,78743,594
52.0,Male,54897,8.0,11014,21.3,5,0,25789,642
46.0,Male,49722,3.3,30092,22.4,8,0,8045,574
30.0,Female,84564,5.5,45952,1.0,7,1,86885,504
24.0,Female,37537,7.2,22949,4.3,4,3,9651,506
41.0,Female,84524,12.3,36548,14.4,8,0,59373,641
49.0,Male,82087,9.0,7568,27.9,7,0,31323,648
62.0,Female,24663,5.3,13572,40.0,3,2,8474,586
35.0,Male,113952,4.9,27774,14.5,3,3,70047,498
24.0,Male,115233,5.1,50895,1.0,7,1,21123,525
41.0,Female,132550,5.7,51509,19.5,8,2,115097,624
51.0,Male,188662,5.3,36609,30.7,4,1,180000,610
40.0,Female,69489,9.2,37302,12.3,4,1,71711,536
48.0,Female,55706,7.1,15966,23.0,8,0,11757,679
49.0,Female,94614,9.6,42008,17.8,5,3,105572,516
21.0,,54128,17.9,17247,1.0,7,3,30935,548
27.0,Male,100902,8.0,59661,2.2,3,2,54920,509
53.0,Male,46358,2.4,24812,34.9,6,1,30522,564
37.0,Female,76745,3.2,15199,11.4,2,1,49019,536
46.0,Female,25968,12.6,9323,15.7,9,4,13170,590
42.0,Male,50637,11.0,19290,14.6,6,0,26983,639
33.0,Female,67304,1.5,7010,3.3,4,0,27279,566
56.0,Female,60291,3.6,37236,35.2,4,3,52016,560
49.0,Male,44591,6.4,23336,17.4,5,4,53660,524
36.0,Male,93097,10.7,50899,10.7,6,1,62005,529
40.0,Female,73623,10.1,26060,8.0,2,2,67160,537
47.0,Male,33294,9.2,16200,21.5,7,2,10199,605
44.0,Male,60315,16.6,8609,21.5,5,0,9348,657
43.0,Female,158803,13.4,46276,11.3,4,3,162484,564
37.0,Female,37239,3.6,4319,7.7,7,0,22297,553
38.0,Male,43611,4.1,14276,13.3,10,1,9156,629
30.0,Male,134340,10.0,59463,7.8,6,1,92692,552
28.0,Male,76490,4.4,27781,9.8,2,2,84113,567
42.0,Male,31663,16.7,14561,14.4,6,2,5851,624
47.0,Male,47188,6.2,23630,18.8,8,2,52758,562
58.0,Male,104110,9.6,43817,30.3,2,1,102350,553
27.0,Male,70282,8.8,15402,1.0,5,0,79890,559
42.0,Female,68001,2.7,22633,19.1,6,0,59716,563
41.0,Male,36038,3.2,17273,19.8,7,1,43380,578
21.0,Male,79519,2.9,44999,1.0,4,0,75136,518
43.0,Female,44566,5.2,26582,19.1,2,1,19487,541
32.0,Female,29632,15.1,3843,1.3,5,2,35905,593
31.0,Female,114270,6.6,33140,5.0,5,1,41867,557
42.0,Female,44163,8.5,15617,14.0,5,2,46589,519
32.0,Male,41652,22.6,8185,5.5,7,4,38128,598
44.0,Male,40404,8.9,20833,24.3,7,2,45170,588
46.0,Female,61781,7.6,12091,15.4,5,0,34095,600
35.0,Female,75861,10.2,32876,14.0,8,2,55808,585
22.0,Female,44474,5.2,11951,3.4,7,0,29649,539
24.0,Male,24750,4.0,14940,1.0,5,2,20176,514
35.0,Male,55064,11.4,17751,14.4,8,0,34264,597
40.0,Male,32089,5.6,3496,17.2,4,1,27460,537
57.0,Male,25602,10.7,8540,31.7,3,1,31482,595
28.0,Male,56836,11.1,5101,1.0,3,1,32515,548
24.0,Female,44941,6.5,19103,4.3,3,1,48587,573
21.0,Female,54733,6.8,5462,1.0,2,2,26952,528
33.0,Female,80021,3.1,46605,14.4,5,2,28429,498
42.0,Female,55751,11.6,28201,16.0,8,3,46530,622
45.0,Male,57160,19.7,36234,13.7,3,1,41375,600
49.0,Male,74846,5.3,15796,26.3,6,1,69950,601
21.0,Male,69714,3.7,8007,1.0,5,2,42135,499
31.0,Male,67590,12.3,20575,7.2,5,0,23066,623
39.0,Female,74448,13.5,32881,11.6,8,0,84997,619
43.0,Male,23699,2.7,5129,24.4,3,0,16424,584
33.0,Female,39967,9.0,23058,3.4,6,2,14166,571
31.0,Female,91416,14.8,23603,4.4,8,1,86800,609
21.0,Male,106867,17.7,39270,1.0,3,1,95156,566
31.0,Male,63570,4.1,12688,11.8,6,1,60636,555
52.0,Female,39052,5.6,13449,25.3,7,0,18946,611
40.0,Female,39980,4.4,8640,19.7,7,2,19508,574
37.0,Male,74836,7.0,48345,5.6,3,3,54467,469
43.0,Male,109027,7.9,66446,14.4,5,1,42486,571
34.0,Female,127515,6.5,37351,4.8,5,1,40479,547
38.0,Female,98306,10.2,20060,17.1,5,3,73278,562
22.0,Female,67726,6.5,37690,1.0,12,2,75031,554
50.0,Male,96539,4.1,26063,24.3,10,1,103004,613
37.0,Male,74836,7.0,48345,5.6,3,3,54467,469
45.0,Male,33324,9.8,12380,21.5,7,0,19812,648
41.0,Female,48395,9.3,18402,9.4,9,1,47648,585
36.0,Male,70733,11.3,13237,7.6,3,2,54706,547
37.0,Female,35434,1.8,16057,15.0,4,2,35935,536
36.0,Male,42056,5.1,9838,13.3,6,3,44790,518
27.0,Male,91825,1.1,35732,1.0,4,2,62686,520
33.0,Male,79264,11.9,50155,2.4,4,3,98360,492
33.0,Male,53825,11.3,21037,2.9,4,1,49719,542
42.0,Male,66553,5.4,39312,16.4,4,2,26764,550
26.0,Female,44786,5.3,25957,7.6,14,4,50939,522
29.0,Male,56163,9.9,32322,4.3,5,0,13198,532
35.0,Male,41901,12.8,21000,7.6,3,2,22731,578
39.0,Male,71436,6.3,16853,20.2,4,0,61842,611
23.0,Female,55595,6.8,10624,1.0,5,2,63101,510
41.0,Male,22419,18.5,12443,16.5,8,2,10173,606
39.0,Male,77652,10.6,29649,12.2,5,0,94648,593
24.0,Female,39553,13.7,8936,1.0,7,3,8166,571
21.0,Female,111203,2.2,19739,1.0,5,2,96810,479
25.0,Male,64906,8.5,36425,1.6,7,2,31251,552
34.0,Male,53715,17.5,24178,9.0,7,2,9646,611
53.0,Female,41439,17.7,12824,25.2,9,0,24003,717
23.0,Female,116424,3.5,41240,1.0,6,0,53250,550
26.0,Female,79917,8.1,21694,7.0,5,1,55016,565
43.0,Male,42803,10.5,18471,14.6,6,0,27740,630
34.0,Male,47277,3.3,16236,8.3,4,2,17207,550
34.0,Male,80604,22.6,50275,3.9,7,2,89952,603
42.0,Male,46456,5.5,6918,12.8,2,2,34702,556
39.0,Female,49451,4.3,11635,13.2,4,1,29990,531
44.0,Male,25352,13.7,3739,23.9,5,1,18786,646
24.0,Female,45032,6.6,16608,5.4,8,1,46337,525
51.0,Female,97506,6.3,43364,31.3,3,2,78701,593
44.0,Female,74185,9.7,28095,13.2,3,1,39601,618
29.0,Male,51546,2.7,14902,8.8,5,1,22511,533
36.0,Female,55098,7.8,32288,9.6,6,1,43817,575
61.0,Male,75621,2.2,13965,33.5,1,1,74684,591
45.0,Female,118189,6.9,34935,16.1,4,3,126864,538
57.0,Male,48949,11.6,16103,31.5,6,2,26262,639
33.0,Female,85715,4.2,40052,14.1,5,1,96712,587
40.0,Female,63315,14.2,9656,15.0,5,0,73617,610
33.0,Female,94417,20.8,22135,7.5,7,1,91726,680
34.0,Male,112775,23.7,27271,4.5,6,2,84228,639
21.0,Male,85664,4.3,41714,1.0,7,1,64893,544
25.0,Male,68394,5.8,38949,4.9,3,1,60962,521
46.0,Female,40469,1.7,15626,19.7,4,0,34377,573
48.0,Male,93239,7.4,12956,27.0,4,2,82706,596
22.0,Male,125675,8.4,31063,1.0,5,2,79845,514
47.0,Male,57578,0.7,8303,26.8,4,0,23029,602
54.0,Female,24643,0.2,2418,23.0,12,2,25396,575
34.0,Male,49709,12.3,29633,5.0,8,2,38858,578
21.0,Female,28490,9.9,16901,1.0,4,0,32421,548
42.0,Female,57891,9.0,29156,14.5,4,4,63005,527
27.0,Male,108079,5.6,19003,1.0,7,2,91534,551
43.0,Female,145587,12.9,59484,15.9,5,1,49769,654
43.0,Female,42682,7.6,11188,11.6,4,0,17792,600
50.0,Male,179592,13.6,14956,30.5,8,2,150097,671
53.0,Female,38522,13.5,23518,28.7,7,1,21844,672
31.0,Male,77676,11.1,16991,5.7,6,1,27926,596
36.0,Female,43818,3.6,7404,4.9,5,1,24063,565
50.0,Male,84453,9.0,31749,19.0,5,1,62801,598
44.0,Female,146273,2.0,63766,21.4,3,1,171697,528
30.0,Female,73699,1.0,28646,11.3,11,0,84194,533
55.0,Female,74578,15.6,35203,27.8,3,2,67220,586
37.0,Female,59228,16.5,16154,18.4,6,2,60387,628
49.0,Male,63120,9.3,29787,19.6,2,1,66345,581
30.0,Male,68075,3.5,34794,1.3,9,0,10594,591
45.0,Female,35208,32.6,5713,24.9,4,2,21309,734
21.0,Male,116347,4.5,10926,1.0,4,1,85145,563
27.0,Male,42019,6.8,9079,8.5,5,3,47723,532
42.0,Female,42299,7.6,26126,13.7,7,1,6476,606
27.0,Male,64596,1.4,38942,1.0,3,2,69796,453
31.0,Female,29450,6.3,8527,8.6,9,0,7921,592
40.0,Male,86221,9.3,49854,22.0,7,1,107554,558
47.0,Male,64890,8.2,23222,16.7,5,3,37220,580
21.0,Female,70021,2.4,44796,1.9,7,0,83082,537
51.0,Male,24134,5.3,4309,25.1,6,1,17926,580
36.0,Female,80176,8.0,43513,8.7,6,1,63056,580
48.0,Female,155425,7.8,36180,27.5,3,1,26911,602
43.0,Female,45299,12.1,5168,11.3,1,1,48827,575
30.0,Female,21232,12.1,12647,2.4,6,1,26063,575
37.0,Female,47283,9.8,24548,12.3,3,2,15108,547
48.0,Male,60598,4.2,28358,29.4,4,1,25682,570
30.0,Male,36635,5.7,5037,3.0,9,2,5694,571
34.0,Male,60662,14.3,14624,15.8,8,2,71000,615
57.0,Male,100785,6.5,44973,32.2,6,1,70371,608
34.0,Male,82772,11.5,27749,9.2,6,1,98676,599
24.0,Male,59982,4.1,7323,1.0,2,1,39267,548
21.0,Female,37719,14.2,7419,1.0,6,2,46743,549
32.0,Female,66675,8.0,7042,8.9,3,1,68893,595
40.0,Female,37015,14.1,13101,15.8,5,1,23447,597
41.0,Male,78558,7.4,29454,22.1,3,4,90729,552
39.0,Male,41405,10.9,23223,7.5,2,3,16068,507
21.0,Male,41273,15.9,4162,1.0,3,2,18445,533
39.0,Male,22924,6.1,5412,16.0,6,1,9157,605
26.0,Female,45222,17.0,10211,6.8,10,1,47116,586
35.0,Female,80074,5.0,10287,7.5,6,4,82514,516
40.0,Female,20830,5.0,12160,20.2,6,1,18633,589
42.0,Male,41735,2.8,5364,21.1,12,2,28115,624
46.0,Male,52559,9.1,28739,16.1,5,0,50826,595
49.0,Female,42090,17.4,4857,24.1,6,0,50335,642
39.0,Male,69451,7.0,42852,14.2,3,0,60043,578
39.0,Female,48082,4.3,17608,18.0,6,2,49828,559
43.0,Female,33716,13.3,18311,11.9,6,2,20315,574
30.0,Male,86069,13.8,39037,4.4,5,1,98562,567
49.0,Male,56803,9.8,26159,25.9,4,3,35857,586
40.0,Male,78014,32.6,21640,15.9,2,1,26605,684
46.0,Male,97164,13.6,58593,25.5,9,1,85231,640
41.0,Male,29929,5.4,12491,20.1,2,1,5403,558
30.0,Male,37736,8.8,12574,10.2,7,3,36597,520
43.0,Male,69396,7.7,7674,18.5,7,1,85201,594
36.0,Male,65118,4.5,25118,12.3,6,2,16443,589
43.0,Male,39442,4.4,24417,23.3,5,4,12243,545
50.0,Female,280485,12.8,62998,28.2,2,4,180000,642
22.0,Female,116713,16.6,16963,1.0,2,0,93517,615
32.0,Male,82697,5.7,14470,6.9,5,3,45615,536
51.0,Female,106840,8.5,58810,27.1,3,4,32177,594
38.0,Male,62778,11.8,35594,12.1,4,0,48524,558
37.0,Female,122895,2.2,14729,14.7,7,0,29786,601
32.0,Male,54641,15.4,16368,9.3,3,0,41392,595
30.0,Male,42694,3.0,12648,5.8,8,0,49282,568
42.0,Female,27774,7.8,5114,14.1,7,4,22260,548
21.0,Male,41588,15.3,26532,1.0,6,2,25007,585
39.0,Female,105632,2.5,54869,9.4,5,2,100866,523
36.0,Female,63918,7.3,6999,10.9,4,1,55391,552
26.0,Female,59386,11.2,36502,1.0,8,0,69369,564
21.0,Male,58902,5.5,35637,1.0,4,2,73261,483
46.0,Female,77463,7.3,45031,25.1,10,2,82552,600
32.0,Male,49335,2.2,26999,1.4,9,2,22577,512
40.0,Female,52938,3.1,18032,12.7,11,2,10758,591
43.0,Male,19855,14.0,10214,13.7,3,0,8215,643
40.0,Female,81790,10.1,37313,10.0,6,1,51556,616
54.0,Female,53330,9.2,34438,30.6,8,0,65099,652
27.0,Female,109056,9.3,22877,1.0,12,4,36006,583
24.0,Male,30670,1.5,12021,3.8,3,1,8330,518
56.0,Female,33533,16.5,14095,34.6,3,0,25616,675
31.0,Male,21743,13.2,10553,3.8,5,2,15527,555
44.0,Female,32092,14.0,15930,23.3,8,0,34356,652
44.0,Male,97001,10.8,47164,23.1,6,3,59748,645
42.0,Male,84830,4.5,10354,15.2,3,0,67680,567
46.0,Female,121912,5.6,78693,21.5,7,0,144174,571
47.0,Male,24036,14.0,14177,26.7,5,2,4559,624
34.0,Male,105518,19.1,44860,10.9,7,0,25180,652
59.0,Female,78987,5.6,28242,32.7,4,2,31416,644
41.0,Female,84712,4.6,34745,19.0,4,3,100902,519
45.0,Male,34767,5.4,3041,19.7,3,1,39354,581
53.0,Male,190883,7.9,50693,30.9,8,3,106473,626
48.0,Female,83841,4.8,48668,16.3,6,3,78936,518
45.0,Male,52314,4.2,26334,21.8,6,0,57279,584
55.0,Male,78425,1.9,40909,26.6,3,1,14689,601
32.0,Female,87250,6.7,18960,4.3,5,0,68475,609
51.0,Female,51902,12.9,22472,25.3,4,1,44518,644
38.0,Male,61877,3.7,5351,11.2,5,0,33614,614
33.0,Male,94740,2.4,49022,8.1,4,0,31345,556
35.0,Male,74821,7.9,24759,6.5,4,1,19062,547
31.0,Male,66153,5.0,29841,7.9,5,2,33532,503
25.0,Male,66508,11.3,42722,4.9,5,1,28197,563
57.0,Male,29633,3.3,9555,28.3,9,0,14874,638
28.0,Female,69460,6.3,43076,1.0,6,0,21599,564
36.0,Female,53765,6.8,10953,9.0,5,2,57236,570
54.0,Male,47276,6.2,27469,30.6,5,1,23748,637
38.0,Male,24586,5.3,14665,7.1,8,2,12221,591
43.0,Female,58489,24.4,34676,17.4,4,1,70330,617
44.0,Male,140854,6.8,58824,19.9,4,2,29538,617
56.0,Female,73210,17.0,14506,34.3,3,3,36514,660
45.0,Female,63229,14.8,34842,26.7,5,0,44517,671
29.0,Male,19599,15.0,12548,6.0,3,0,23685,611
37.0,Male,27479,12.8,16518,13.6,6,0,6512,627
45.0,Female,43161,13.8,26358,22.8,3,1,52999,591
31.0,Female,87528,6.0,7251,3.8,7,1,32135,572
34.0,Female,37695,5.3,19619,8.8,8,2,16153,519
38.0,Male,27582,9.1,7365,12.7,3,2,32280,588
40.0,Female,33705,4.7,13912,19.6,8,1,13914,573
55.0,Female,54505,17.2,5500,34.5,7,4,50501,688
47.0,Female,61472,10.2,39442,20.9,4,1,12535,629
33.0,Male,34412,10.6,20674,2.1,7,2,30197,522
38.0,Female,130208,5.2,51539,19.1,4,1,79253,547
34.0,Female,116349,9.8,75537,13.8,5,0,90753,575
36.0,Male,37741,12.0,7763,10.8,8,1,13375,643
51.0,Male,81626,17.8,17152,31.1,3,2,23681,720
41.0,Female,73170,2.5,8749,23.0,5,3,78832,555
42.0,Male,54125,18.9,17288,20.1,6,3,36788,646
27.0,Female,21528,5.7,11480,2.9,5,2,24342,521
38.0,Male,40400,6.7,9278,18.8,8,1,42432,595
33.0,Male,19923,7.8,9509,9.5,1,1,23485,507
35.0,Female,52256,2.1,30012,14.4,4,1,43820,556
55.0,Male,56128,10.5,23598,34.5,4,2,11181,635
51.0,Female,65861,9.6,36842,28.4,5,2,35476,582
53.0,Male,253532,8.3,120000,30.1,5,0,136849,657
70.0,Female,53239,9.5,28379,40.0,6,3,9908,647
57.0,Male,52350,7.9,6023,36.0,3,4,43244,559
34.0,Male,28271,13.5,9500,6.2,2,0,8931,586
24.0,Male,25950,5.1,7337,1.0,6,2,4915,513
34.0,Male,38826,3.5,20420,10.4,4,4,15501,482
52.0,Male,92786,9.7,38200,25.4,5,2,115599,575
48.0,Male,114762,5.1,9942,19.9,8,2,26337,632
21.0,Female,50323,6.8,16106,1.0,4,3,45689,497
25.0,Female,51957,12.7,5376,4.3,2,0,37367,589
50.0,Male,36127,8.5,21843,26.0,6,4,18915,558
22.0,Male,121904,2.0,50360,3.8,3,2,62249,533
62.0,Male,30124,5.1,12969,33.4,7,1,15718,635
54.0,Male,116011,3.2,44904,33.2,9,1,103338,632
56.0,Male,61127,15.7,14805,34.7,4,4,23403,617
33.0,Female,23926,10.4,11968,5.6,4,2,21894,509
34.0,Female,83437,2.8,43743,12.6,4,3,62143,531
26.0,Male,27740,6.0,4872,1.0,4,2,33219,507
21.0,Male,185122,4.8,113929,1.0,7,0,57608,532
36.0,Female,52925,4.1,17727,9.1,4,4,35093,558
24.0,Male,72319,6.8,11382,1.0,6,1,65432,540
38.0,Male,61777,2.7,20383,14.0,4,0,36985,562
46.0,Female,34832,4.2,15928,16.0,7,3,8049,570
32.0,Female,115638,19.9,61464,8.7,6,0,20657,655
43.0,Male,106930,8.0,35015,13.6,4,0,63587,585
21.0,Male,78135,14.2,16830,1.0,3,2,89519,548
39.0,Male,29806,10.7,19370,12.3,6,0,8880,597
21.0,Female,32977,4.7,10225,1.0,6,2,8052,546
44.0,Male,59019,16.6,11765,12.6,6,2,41826,620
52.0,Male,100878,7.9,28855,30.0,5,2,40201,627
35.0,Male,26125,11.5,11817,12.4,3,1,29144,564
37.0,Male,33611,5.4,16809,9.6,2,2,19452,513
47.0,Male,55142,11.1,10837,16.7,5,0,21993,627
45.0,Female,163137,4.3,14118,22.7,5,2,108311,609
34.0,Male,92238,5.9,41922,12.4,6,5,46031,531
29.0,Female,138313,1.6,55053,8.8,4,0,156235,520
44.0,Female,113392,13.6,39998,24.5,8,1,84562,639
54.0,Male,109619,5.3,17028,23.8,4,1,20589,611
45.0,Male,69128,7.0,23044,26.9,4,3,39947,597
31.0,Male,57023,8.0,17565,10.0,4,0,28455,573
42.0,,60381,2.6,15206,15.3,3,1,62718,553
43.0,Male,114006,20.3,17760,16.3,9,4,45251,665
30.0,Male,86747,3.2,45270,8.0,9,3,89533,465
,Male,79691,6.8,45078,20.9,7,1,68690,578
30.0,Female,62327,7.3,24444,1.4,5,1,67832,553
28.0,Male,53567,11.0,6280,1.0,5,1,25704,599
28.0,Female,67938,3.1,29803,7.7,8,4,74850,476
35.0,Male,129812,5.7,80228,17.0,4,1,64446,565
70.0,Female,45898,6.3,13401,40.0,4,1,27846,646
24.0,Female,70796,7.0,36354,1.0,5,1,54708,513
26.0,Male,51635,19.0,28012,6.0,8,2,58811,586
34.0,Male,55244,10.3,17176,7.7,9,0,50934,603
53.0,Female,53320,9.8,18980,22.9,6,1,62416,609
44.0,Male,43959,6.8,8209,21.2,6,1,34948,607
37.0,Female,55995,3.7,17196,7.4,5,0,41500,560
52.0,Male,166910,14.3,20984,21.1,8,1,150410,660
22.0,Male,77405,6.8,18621,2.7,5,1,65498,518
31.0,Male,154522,3.7,100379,1.0,3,2,162074,451
54.0,Female,40043,7.2,9268,27.0,7,2,38188,612
40.0,Male,42064,20.7,7698,8.3,3,2,29581,632
62.0,Female,44347,14.7,15241,32.7,4,0,49349,638
38.0,Female,62926,7.6,9548,10.2,5,3,62470,522
25.0,Female,115737,7.9,34687,1.0,5,1,113130,540
53.0,Female,92897,9.7,34456,33.4,5,0,66751,685
49.0,Male,67506,7.8,19352,20.5,3,3,68170,506
50.0,Male,72007,8.3,43196,22.6,5,2,43322,601
30.0,Female,45636,12.5,21303,3.8,5,3,23539,553
26.0,Female,48236,16.9,4514,1.0,8,2,39334,598
30.0,Male,57733,8.2,11601,10.9,3,0,41038,637
,Male,84135,15.7,9833,5.2,3,2,49185,580
23.0,Male,80279,10.6,37450,1.0,3,2,53062,540
37.0,Female,82552,4.7,36241,16.7,4,1,54928,585
52.0,Male,18000,15.4,2323,21.2,9,1,3988,652
42.0,Female,102938,5.5,28590,14.4,4,1,58462,568
52.0,Female,110256,12.0,21965,32.3,8,1,46075,722
50.0,Male,50944,8.6,16877,24.6,4,2,13753,602
51.0,Female,85708,5.2,49138,28.6,5,2,47384,594
40.0,Male,64796,2.5,20185,20.7,5,1,64299,565
36.0,Male,54111,2.4,31117,13.2,6,2,49452,534
32.0,Female,78915,15.1,22431,2.3,4,2,42411,560
43.0,Male,38482,10.4,14050,19.4,7,2,18690,599
29.0,Female,20696,2.6,12313,4.5,3,2,16690,524
25.0,Male,52544,6.9,5861,6.7,3,1,15816,544
48.0,Female,63056,6.8,5985,17.9,4,1,63146,588
25.0,Female,97998,3.2,11571,1.0,9,1,63954,582
